id,Title,Description,Category
1, Swissmar Capstore Select Storage Rack for 18-Pack ,"Swissmar's capstore select 18 storage unit keeps k-cup® packs neat, organized, clean, ready, and reachable for use. Able to store up to 18 k-cup® packs, the storage unit stands on a rotating base, allowing access from all sides. Designed with a chromed steel frame, the unit is the same bright color as polished stainless steel, so it will blend in any decor. It makes a great gift for college students, space-efficient apartment residents, or anyone needing to reign in kitchen space. It measures 13.5 inches tall and weighs approximately 1.11 pounds. K-cup® packs available separately. ", Home & Kitchen Kitchen & Dining Kitchen Utensils & Gadgets Measuring Tools & Scales 
2, Gemini200 Delta CV-880 Gold Crown Livery Aircraft (1:200 Scale) ,Welcome to the exciting world of GeminiJets! Our models are highly collectible and are all limited editions. , Toys & Games Hobbies Models & Model Kits Pre-Built & Diecast Models Vehicles 
5," Superior Threads 10501-2172 Magnifico Cream Puff 40W Polyester Thread, 500 yd ","For quilting and embroidery, this product is made from polyester, product color: auburn, this product is manufactured in Canada. "," Arts, Crafts & Sewing Sewing Thread & Floss Sewing "
6, Fashion Angels Color Rox Hair Chox Kit ,"Experiment with the haute trend of hair chalking with the new Color Rox Hair Chox kit. This kit includes 5 cool temporary hair ""chox"" colors in easy to grip holders so your hands don’t get messy. It's easy to achieve an ultra-hip look that's in all the fashion magazines at home: simply run the chox through your hair. Dye just the tips of your hair or create ultra-bold streaks. Don’t worry – the color will wash out with your next shampoo! There are also beads, hair rubber bands and a styling tool to help complete your new hair 'do. This kit includes 5 hair chalks, hair rubber bands, beads and styling tool for endless possibilities for yourself and your friends. ", Beauty & Personal Care Hair Care Hair Coloring Products Hair Color 
8, Union Creative Giant Killing Figure 05: Daisuke Tsubaki PVC Mini Figure ,"From Union Creative. Turn your display shelf into a football pitch with these eight mini figures based on the hit manga/anime series. Each stylized, fixed pose figure stands just over 2"" tall. Collect Takeshi Tatsumi (Figure 01), Yotaro Natsuki (02), Yusaku Sugie (03), Pakka Kun (04), Daisuke Tsubaki (05), Gabriel Pereira (06), Hiroshi Midorikawa (07) and Yuri Nagata (08). Sold separately. ", Toys & Games › Action Figures & Statues › Statues & Bobbleheads › Statues 
9," Tape Logic Shipping & Handling Label, Legend""FRAGILE - GLASS - HANDLE WITH CARE"" (DL1570) ","Aviditi Tape Logic shipping label. Boldly display instruction and warning with pressure sensitive label. Legend ""FRAGILE - GLASS - HANDLE WITH CARE"". Available in blue, red, black and white color. Measures 6-inches length by 4-inches width. ", Industrial & Scientific › Packaging & Shipping Supplies › Packaging Labels & Tags › Shipping & Handling Labels 
13," Shea Moisture Strengthen & Restore Leave-In Conditioner, 16 Ounce (Pack of 2) ","SheaMoisture Jamaican Black Castor Oil Strengthen, Grow & Restore Leave-In Conditioner is a reparative leave-in conditioner that softens and detangles hair. It nourishes, moisturizes and supports elasticity so hair resists breakage when detangling. It provides a protective layer that improves the appearance of split ends. Peppermint oil stimulates the scalp for an invigorating experience. ", Beauty & Personal Care Hair Care Shampoo & Conditioner Conditioners 
14, Frymaster 8262183 Fp28/36 Sink Drain Struct Kit ,"826-2183, KIT, FP28/36 SINK DRAIN. Frymaster Genuine OEM replacement part. Frymaster provides high quality fryers to the food service industry. Use genuine OEM parts for safety reliability and performance. ", Appliances Parts & Accessories Cooktop Parts & Accessories 
16, Rubie's Star Wars Classic Luke Skywalker Child Costume ,"The Force is sure to be with young Skywalker in this Officially Licensed Star Wars child's costume with tunic, belt, and pants with printed boot-tops. Combine with child, adult, and pet Star Wars costumes, as well as décor items, including Obi-Wan Kenobi, Darth Maul, Clone Troopers, and more. Rubie's offers costumes, accessories, and décor items from Star Wars, The Empire Strikes Back, Return of the Jedi, The Phantom Menace, Attack of the Clones, The Clone War, The Force Awakens, The Last Jedi, Rogue One, and Solo. IMPORTANT: Costumes are sized differently than apparel, use the Rubie’s Child Size Chart, do not choose based on child’s age or clothing size. Family-owned, family-focused, and based in the U.S.A. since 1950, Rubie’s has classic and licensed costumes and accessories in sizes and styles for your entire family. ", Toys & Games › Dress Up & Pretend Play › Costumes 
18, Fifth Avenue Crystal Emerald Round Votive ,"Add a spark of contemporary charm and romantic ambiance to a dining table with this votive holder from Fifth Avenue Crystal. With this piece, you can dress up the table and set the mood for company or a romantic dinner at home. ", Home & Kitchen Home Décor Candles & Holders Candleholders 
